,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
1690,2373,1,Female,White,57,Widowed,0,South atlantic,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
1744,2403,2,Male,White,35,Married,50000,Foreign,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,64
1760,2412,2,Male,White,17,Married,50000,Mountain,1,No,No,Graduate,Education,58%+,468+,Private,25000,61,Working fulltime,0,Government,Elementary and secondary schools,88,17
1765,2415,2,Female,White,34,Married,Big-city suburb,Mountain,1,No,No,Graduate,Education,40-57.9%,468+,Public,NA,51,Working fulltime,0,Private,Insurance carriers and related activities,55,28
1782,2424,1,Female,White,22,Separated,Big-city suburb,Pacific,1,No,No,Graduate,Education,0-39.9%,468+,Private,25000,3,Working parttime,0,Private,"Colleges and universities, including junior colleges",88,NA
1814,2442,1,Female,White,33,Never married,0,E. nor. central,1,No,No,Graduate,Education,58%+,468+,Public,25000,84,Temp not working,0,Private,Elementary and secondary schools,84,NA
1882,2480,1,Male,White,15,Never married,250000,Mountain,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,51,Working fulltime,0,Private,Traveler accommodation,57,NA
1892,2485,1,Female,White,69,Widowed,250000,E. nor. central,1,No,No,Bachelor,Education,58%+,468+,Public,25000,34,Working parttime,0,Private,"Accounting, tax preparation, bookkeeping, and payroll services",64,NA
1906,2493,1,Female,White,30,Separated,Big-city suburb,E. nor. central,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,25000,84,Keeping house,0,Government,Elementary and secondary schools,88,NA
1999,4,2,Female,White,39,Never married,Big-city suburb,E. nor. central,1,No,No,Junior college,Education,NA,468+,Public,10000,28,Working fulltime,0,Private,Grocery stores,18,55
2063,39,1,Female,White,21,Divorced,NA,South atlantic,1,No,No,Graduate,Education,58%+,468+,Private,25000,40,Working fulltime,0,Private,"Colleges and universities, including junior colleges",81,NA
2109,64,1,Male,White,7,Never married,0,Middle atlantic,1,Yes,No,Bachelor,Education,40-57.9%,468+,Public,6000,13,Working parttime,0,Private,Pharmacies and drug stores,25,NA
2116,67,1,Female,White,11,Married,0,Middle atlantic,1,No,No,Graduate,Education,NA,468+,Private,25000,40,Working fulltime,0,Government,Elementary and secondary schools,84,NA
2152,87,1,Male,White,13,Never married,NA,Middle atlantic,1,No,No,Graduate,Education,58%+,468+,Public,25000,40,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2156,89,1,Female,White,14,Married,0,South atlantic,1,Yes,No,Graduate,Education,58%+,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2326,184,1,Female,Black,56,Divorced,NA,South atlantic,1,NA,NA,Junior college,Education,40-57.9%,468+,Public,NA,1,Retired,0,Government,Administration of human resource programs,80,NA
2328,185,2,Female,White,49,Widowed,NA,Middle atlantic,1,NA,NA,Graduate,Education,58%+,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,54
2525,295,2,Female,Black,36,Married,250000,Foreign,0,No,No,Graduate,Education,NA,NA,none,25000,41,Working fulltime,0,Private,Home health care services,31,40
2548,307,1,Female,White,20,Married,50000,E. sou. central,1,No,No,Graduate,Education,0-39.9%,468+,Public,25000,84,Temp not working,0,Government,Elementary and secondary schools,88,NA
2576,322,1,Female,Black,65,Widowed,50000,E. sou. central,1,NA,NA,Graduate,Education,0-39.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
2629,353,2,Female,White,30,Married,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Elementary and secondary schools,88,59
2690,386,2,Female,White,36,Married,50000,Mountain,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,38
2696,389,1,Female,White,67,Widowed,50000,South atlantic,1,NA,NA,Bachelor,Education,58%+,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
2704,394,1,Female,White,42,Married,0,South atlantic,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,25000,1,Retired,0,Government,Elementary and secondary schools,88,NA
2714,399,1,Male,White,34,Married,0,Middle atlantic,1,No,No,Bachelor,Education,58%+,468+,Public,25000,54,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2798,445,2,Male,White,49,Married,250000,Middle atlantic,1,NA,NA,Graduate,Education,58%+,468+,Public,25000,1,Retired,0,Government,Elementary and secondary schools,3,0
2848,474,2,Male,White,61,Widowed,NA,Middle atlantic,1,NA,NA,Graduate,Education,58%+,468+,Public,NA,1,Retired,0,Private,"Electric power generation, transmission, and distribution",55,37
2910,508,2,Male,White,28,Married,50000,Foreign,0,No,No,Graduate,Education,40-57.9%,468+,Private,NA,40,Working fulltime,0,Government,Elementary and secondary schools,88,61
2964,538,1,Male,White,47,Divorced,0,W. nor. central,1,No,No,Bachelor,Education,0-39.9%,468+,Public,10000,7,Working parttime,0,Private,Real estate,70,NA
3015,567,1,Female,Black,52,Married,0,W. sou. central,1,NA,NA,Bachelor,Education,0-39.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
3090,608,2,Female,White,19,Married,0,South atlantic,1,No,No,Graduate,Education,58%+,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,0
3098,612,2,Female,White,18,Married,0,South atlantic,1,No,No,Bachelor,Education,58%+,468+,Public,25000,61,Working fulltime,0,Government,Elementary and secondary schools,88,0
3115,622,2,Female,White,40,Married,50000,South atlantic,1,No,No,Junior college,Education,NA,0-467,Public,25000,31,Working fulltime,0,Government,"Museums, art galleries, historical sites, and similar institutions",48,53
3144,638,2,Male,White,69,Married,NA,South atlantic,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Government,"Colleges and universities, including junior colleges",81,72
3162,648,1,Female,White,38,Married,Big-city suburb,Pacific,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,26,Working fulltime,0,Private,"Periodical, book, and directory publishers",83,NA
3186,661,2,Female,White,42,Divorced,0,South atlantic,1,No,No,Bachelor,Education,58%+,468+,Public,25000,28,Working fulltime,0,Government,"Other amusement, gambling, and recreation industries",66,35
3243,694,2,Female,Other,20,Married,Big-city suburb,Foreign,0,NA,NA,Bachelor,Education,NA,NA,none,NA,84,Keeping house,0,Private,Child day care services,68,35
3412,790,1,Female,White,71,Widowed,250000,Middle atlantic,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
3459,816,1,Female,White,54,Married,NA,W. nor. central,1,NA,NA,Bachelor,Education,40-57.9%,468+,Private,NA,1,Retired,0,Private,Hospitals,87,NA
3467,820,2,Female,White,50,Married,NA,South atlantic,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,NA,84,Keeping house,0,Government,Elementary and secondary schools,88,38
3507,842,2,Female,White,52,Married,Big-city suburb,E. sou. central,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,24
3531,855,2,Female,White,39,Married,0,South atlantic,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,15000,17,Working parttime,0,Private,"Colleges and universities, including junior colleges",87,49
3537,859,1,Male,White,53,Married,0,Pacific,1,NA,NA,Junior college,Education,NA,NA,none,NA,1,Retired,0,Government,U.s. armed forces/n.s.,66,NA
3549,865,2,Female,White,54,Never married,0,Middle atlantic,1,NA,NA,Bachelor,Education,NA,NA,none,NA,1,Retired,0,Private,Elementary and secondary schools,88,0
3569,876,2,Female,White,61,Widowed,NA,Middle atlantic,1,NA,NA,Bachelor,Education,0-39.9%,468+,Private,25000,1,Retired,0,Government,Outpatient care centers,76,64
3623,907,2,Female,White,68,Widowed,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Education,58%+,468+,Private,NA,1,Retired,0,NA,Elementary and secondary schools,84,73
3651,922,1,Male,White,43,Married,NA,E. nor. central,1,No,No,Graduate,Education,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
3667,931,2,Female,White,57,Married,0,E. nor. central,1,NA,NA,Bachelor,Education,58%+,468+,Public,NA,1,Retired,0,Private,Newspaper publishers,46,17
3841,1028,1,Female,White,24,Married,NA,South atlantic,1,No,No,Bachelor,Education,40-57.9%,468+,Public,NA,35,Working fulltime,0,Government,Elementary and secondary schools,68,NA
3864,1041,1,Female,White,4,Never married,0,South atlantic,1,No,No,Junior college,Education,NA,468+,Public,7000,13,Working parttime,0,Private, restaurants and other food services,34,NA
3866,1042,2,Male,Other,17,Never married,0,Foreign,0,No,No,Bachelor,Education,NA,NA,none,25000,35,Working fulltime,0,Private,Animal slaughtering and processing,8,31
3895,1058,1,Female,White,41,Married,NA,New england,1,No,No,Bachelor,Education,58%+,468+,Public,25000,40,Working fulltime,0,Government,Elementary and secondary schools,81,NA
3925,1074,1,Female,White,48,Married,0,New england,1,No,No,Graduate,Education,0-39.9%,468+,Public,25000,35,Working fulltime,0,Government,Elementary and secondary schools,80,NA
3947,1088,2,Female,Black,21,Married,250000,W. sou. central,1,NA,NA,Graduate,Education,0-39.9%,468+,Private,25000,35,Working fulltime,0,Government,Elementary and secondary schools,68,NA
4034,1186,2,Female,White,61,Married,0,Mountain,1,NA,NA,Graduate,Education,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
4183,1352,2,Female,White,17,Married,NA,Pacific,1,Yes,No,Graduate,Education,40-57.9%,468+,Public,25000,24,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
4240,1415,2,Female,White,41,Married,250000,W. sou. central,1,No,No,Bachelor,Education,58%+,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
4257,1433,2,Female,Other,22,Never married,50000,Foreign,0,No,No,Bachelor,Education,NA,NA,none,10000,35,Working fulltime,0,Government,Elementary and secondary schools,88,NA
4289,1470,2,Female,White,29,Never married,250000,Pacific,1,No,No,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,25000,57,Working fulltime,0,NA,Elementary and secondary schools,88,35
4338,1523,2,Male,White,37,Never married,50000,W. sou. central,1,No,No,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,10000,57,Working fulltime,1,Private,Grocery stores,45,NA
4391,1583,2,Female,White,46,Divorced,0,South atlantic,1,No,No,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,25000,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
1162,2080,2,Female,White,55,Married,NA,E. nor. central,1,NA,NA,Graduate,Engineering & Computer Science,58%+,468+,Public,NA,1,Retired,0,Private,"Securities, commodities, funds, trusts, and other financial investments",66,25
1266,2138,2,Male,White,18,Never married,0,Middle atlantic,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",80,0
2318,179,2,Male,White,31,Married,0,South atlantic,1,NA,NA,Graduate,Engineering & Computer Science,40-57.9%,468+,Public,25000,24,Working fulltime,0,Government,Elementary and secondary schools,88,25
68,1812,1,Male,Other,23,Married,0,Foreign,0,No,No,Bachelor,Engineering & Computer Science,NA,NA,none,25000,35,Working fulltime,0,Private,Wired telecommunications carriers,85,NA
517,1722,2,Male,White,26,Divorced,Big-city suburb,Pacific,1,No,No,Junior college,Engineering & Computer Science,NA,468+,Public,25000,57,Working fulltime,1,Private,Not specified retail trade,46,24
1554,2297,1,Male,Other,40,Married,Big-city suburb,Foreign,0,No,No,Junior college,Engineering & Computer Science,NA,468+,Public,NA,35,Working fulltime,0,Private,"Navigational, measuring, electromedical, and control instruments manufacturing",53,NA
4306,1488,2,Female,Black,13,Divorced,NA,W. sou. central,1,No,No,Junior college,Engineering & Computer Science,NA,NA,none,NA,35,Working fulltime,0,Government,U.s. army,59,NA
66,1801,1,Male,White,56,Married,250000,Middle atlantic,1,NA,NA,Graduate,Engineering & Computer Science,58%+,468+,Private,NA,1,Retired,0,Private,Wired telecommunications carriers,83,NA
109,2045,1,Male,White,29,Married,Big-city suburb,Middle atlantic,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Private,25000,35,Working fulltime,0,Private,Hospitals,75,NA
218,102,2,Male,White,25,Married,Big-city suburb,Middle atlantic,1,No,No,Graduate,Engineering & Computer Science,NA,NA,none,25000,35,Working fulltime,0,Government,Scientific research and development services,84,25
658,1800,1,Female,White,10,Never married,NA,Middle atlantic,1,Yes,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,46,Working fulltime,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",3,NA
699,1824,1,Male,Other,9,Never married,50000,Foreign,0,No,No,Graduate,Engineering & Computer Science,58%+,468+,Private,25000,84,Working fulltime,0,Private,"Management, scientific, and technical consulting services",80,NA
703,1826,2,Male,White,53,Married,0,E. sou. central,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Public,NA,84,School,0,Private,"Construction, and mining and oil and gas field machinery manufacturing    ",39,53
743,1848,2,Male,Other,50,Married,250000,Foreign,0,Yes,No,Graduate,Engineering & Computer Science,58%+,468+,Public,25000,35,Working fulltime,0,Private,Scientific research and development services,81,48
758,1855,1,Female,Other,10,Married,250000,Foreign,0,Yes,No,Graduate,Engineering & Computer Science,40-57.9%,468+,Public,25000,13,Working parttime,0,Private,"Management, scientific, and technical consulting services",85,NA
800,1880,1,Male,White,11,Never married,0,E. nor. central,0,Yes,No,Bachelor,Engineering & Computer Science,58%+,468+,Public,25000,46,Working fulltime,0,Private,"Electronic component and product manufacturing, n.e.c.",84,NA
904,1937,2,Male,White,48,Divorced,250000,New england,1,NA,NA,Junior college,Engineering & Computer Science,58%+,468+,Private,NA,84,Other,1,Private,"Structural metals, and boiler, tank, and shipping container manufacturing",80,50
917,1944,1,Male,Other,22,Never married,0,Foreign,0,NA,NA,Junior college,Engineering & Computer Science,58%+,468+,Public,NA,35,Working fulltime,0,Private,Agricultural implement manufacturing,16,NA
1014,1998,2,Female,Other,23,Married,250000,Foreign,0,NA,NA,Graduate,Engineering & Computer Science,58%+,468+,Private,NA,84,Keeping house,0,Private,"Communications, and audio and video equipment manufacturing        ",83,47
1172,2085,1,Male,Black,28,Divorced,Big-city suburb,E. nor. central,1,No,Yes,Bachelor,Engineering & Computer Science,40-57.9%,468+,Private,25000,46,Working fulltime,0,Private,Motor vehicles and motor vehicle equipment manufacturing,66,NA
1341,2180,1,Male,Black,19,Married,Big-city suburb,Foreign,0,NA,NA,High school,Engineering & Computer Science,NA,NA,none,10000,84,School,0,Private,Computer and peripheral equipment manufacturing    ,10,NA
1394,2208,2,Male,White,10,Married,0,New england,1,Yes,No,Bachelor,Engineering & Computer Science,40-57.9%,468+,Private,25000,46,Working fulltime,0,Private,"Construction, and mining and oil and gas field machinery manufacturing    ",82,46
1420,2224,1,Male,White,72,Widowed,0,New england,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Public,NA,1,Retired,0,Private,NA,83,NA
1484,2259,1,Male,Other,14,Married,50000,Foreign,0,No,Yes,Graduate,Engineering & Computer Science,58%+,468+,Private,25000,35,Working fulltime,0,Private,Other health care services,3,NA
1544,2292,2,Male,White,23,Married,250000,South atlantic,0,NA,NA,Graduate,Engineering & Computer Science,40-57.9%,468+,Public,25000,46,Working fulltime,0,Private,Management of companies and enterprises,66,25
2048,30,1,Male,White,45,Separated,0,E. nor. central,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Private,25000,61,Working fulltime,1,NA,"Architectural, engineering, and related services",84,NA
2066,40,2,Male,Black,43,Married,250000,Mountain,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Public,25000,66,Working fulltime,0,Private,Construction,84,59
2084,50,1,Male,White,41,Married,Big-city suburb,New england,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Private,NA,1,Retired,0,Private,"Colleges and universities, including junior colleges",84,NA
2087,52,1,Male,White,17,Separated,NA,Middle atlantic,1,NA,NA,Junior college,Engineering & Computer Science,NA,468+,Public,20000,84,School,0,Private,"Engines, turbines, and power transmission equipment manufacturing      ",21,NA
2205,118,1,Male,White,15,Never married,NA,South atlantic,1,No,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,64,Working fulltime,0,Private,"Cement, concrete, lime, and gypsum product manufacturing",80,NA
2506,284,1,Male,White,35,Married,250000,E. sou. central,1,Yes,Yes,Bachelor,Engineering & Computer Science,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Aerospace product and parts manufacturing,83,NA
2537,301,2,Female,Black,15,Married,250000,Foreign,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Public,20000,1,"Unempl, laid off",0,Private,"Architectural, engineering, and related services",84,0
2547,307,2,Male,White,28,Divorced,0,E. nor. central,1,NA,NA,Bachelor,Engineering & Computer Science,NA,468+,Public,25000,1,"Unempl, laid off",0,Private,Construction,19,0
2604,339,2,Male,White,26,Married,NA,E. nor. central,1,No,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,66,Working fulltime,0,Private,"Machinery manufacturing, n.e.c.    ",59,31
2810,453,1,Male,White,17,Divorced,0,E. nor. central,1,Yes,No,Junior college,Engineering & Computer Science,NA,468+,Public,25000,61,Working fulltime,0,Private,"Management, scientific, and technical consulting services",66,NA
2839,470,2,Male,Other,10,Never married,250000,Foreign,0,NA,NA,Graduate,Engineering & Computer Science,NA,NA,none,NA,84,School,NA,NA,NA,1,48
2842,471,1,Female,White,31,Married,0,E. nor. central,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Public,25000,1,"Unempl, laid off",0,Private,NA,82,NA
3061,593,2,Male,White,20,Married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Engineering & Computer Science,58%+,468+,Private,25000,40,Working fulltime,1,Private,"Independent artists, performing arts, spectator sports, and related industries",83,63
3119,625,1,Male,White,40,Married,250000,Pacific,1,Yes,No,Graduate,Engineering & Computer Science,NA,NA,none,NA,35,Working fulltime,0,Private,Construction,81,NA
3310,730,2,Male,White,59,Married,0,E. nor. central,1,NA,NA,Bachelor,Engineering & Computer Science,58%+,468+,Private,NA,1,Retired,0,Private,Computer and peripheral equipment manufacturing    ,81,35
3365,763,2,Male,White,51,Divorced,0,Middle atlantic,1,NA,NA,Bachelor,Engineering & Computer Science,40-57.9%,468+,Private,NA,1,Retired,0,Private,Computer systems design and related services,82,21
3367,764,2,Male,White,41,Married,0,Mountain,1,NA,NA,Graduate,Engineering & Computer Science,NA,NA,none,NA,46,Working fulltime,0,Government,Construction,84,27
3407,787,1,Male,White,33,Married,0,Mountain,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Private,25000,57,Working fulltime,0,Government,U.s. armed forces/n.s.,76,NA
3418,794,1,Male,White,39,Married,0,Middle atlantic,1,No,No,Graduate,Engineering & Computer Science,58%+,468+,Public,25000,51,Working fulltime,0,Private,"Electronic component and product manufacturing, n.e.c.",83,NA
3455,814,1,Female,Black,22,Divorced,Big-city suburb,W. sou. central,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,35,Working fulltime,0,Government,U.s. armed forces/n.s.,76,NA
3900,1061,2,Male,White,39,Married,0,W. nor. central,1,NA,NA,Bachelor,Humanities,58%+,468+,Public,25000,46,Working fulltime,0,Private,Not specified utilities,62,28
3935,1080,2,Male,Other,8,Never married,NA,Foreign,0,NA,NA,Bachelor,Humanities,58%+,468+,Public,1000,35,Working fulltime,0,Private,Petroleum refining,82,45
4008,1157,2,Male,White,38,Married,50000,Mountain,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,66,Working fulltime,1,Private,"Machinery manufacturing, n.e.c.    ",66,NA
4200,1371,2,Female,Other,26,Married,250000,Foreign,0,NA,NA,Graduate,Humanities,NA,NA,none,NA,84,Keeping house,0,Government,Scientific research and development services,84,NA
4205,1376,2,Male,Other,11,Married,Big-city suburb,E. nor. central,0,No,No,Bachelor,Humanities,58%+,468+,Private,25000,46,Working fulltime,0,Government,U.s. air force,59,NA
60,1768,2,Male,White,37,Divorced,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,35,Working fulltime,0,Private,Pharmaceutical and medicine manufacturing,80,75
277,435,1,Female,Other,32,Married,250000,Foreign,0,No,No,Bachelor,Humanities,NA,NA,none,25000,35,Working fulltime,1,Private,Non-depository credit and related activities,83,NA
581,1758,1,Female,Black,19,Separated,50000,South atlantic,1,No,No,Junior college,Humanities,NA,468+,Public,NA,37,Working fulltime,0,Private,"Electric power generation, transmission, and distribution",49,NA
890,1929,1,Male,White,24,Divorced,0,Foreign,0,No,No,Bachelor,Humanities,NA,NA,none,NA,40,Working fulltime,0,Private,Gasoline stations,25,NA
909,1940,1,Female,White,36,Divorced,250000,South atlantic,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,32,Working fulltime,0,Private,Legal services,71,NA
1092,2041,2,Male,White,52,Divorced,250000,Middle atlantic,1,NA,NA,Bachelor,Humanities,58%+,468+,Private,20000,1,Retired,1,Private,Business support services,83,64
1932,2507,2,Female,White,53,Divorced,0,W. nor. central,1,NA,NA,Bachelor,Humanities,40-57.9%,468+,Public,NA,1,Retired,0,Private,Wired telecommunications carriers,75,80
2276,156,1,Female,White,26,Married,0,Middle atlantic,1,NA,NA,Bachelor,Humanities,58%+,468+,Public,NA,84,Keeping house,0,Private,"Periodical, book, and directory publishers",83,NA
2597,334,2,Female,White,38,Married,50000,Mountain,1,No,No,Bachelor,Humanities,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Miscellaneous retail stores,46,53
2746,417,2,Female,White,17,Married,Big-city suburb,E. sou. central,1,No,No,Bachelor,Natural Resources & Environment,58%+,468+,Private,20000,35,Working fulltime,0,Private,Religious organizations,56,24
2822,460,2,Male,White,15,Never married,0,Middle atlantic,1,NA,NA,Bachelor,Natural Resources & Environment,58%+,468+,Public,25000,31,Working fulltime,0,Private,Newspaper publishers,83,69
2836,467,2,Male,White,19,Married,NA,Middle atlantic,1,No,No,Bachelor,Natural Resources & Environment,NA,NA,none,25000,35,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,40
3043,583,2,Female,White,64,Widowed,0,Middle atlantic,1,NA,NA,Bachelor,Natural Resources & Environment,58%+,468+,Private,NA,1,Retired,0,Private,Advertising and related services,48,32
3175,655,1,Male,White,44,Never married,50000,Mountain,0,NA,NA,Junior college,Humanities,NA,468+,Public,NA,84,Keeping house,0,Government,"Justice, public order, and safety activities",49,NA
4042,1195,2,Female,White,44,Widowed,50000,W. sou. central,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,"Other amusement, gambling, and recreation industries",25,NA
808,1884,2,Female,White,46,Divorced,Big-city suburb,New england,1,NA,NA,Graduate,Business,58%+,468+,Public,25000,1,"Unempl, laid off",0,Private,"Management, scientific, and technical consulting services",88,60
1806,2438,2,Female,White,10,Never married,Big-city suburb,Mountain,1,NA,NA,Bachelor,Business,58%+,468+,Public,10000,35,Working fulltime,0,Private,Air transportation,64,50
1847,2461,2,Male,White,34,Married,250000,Foreign,0,No,No,Bachelor,Business,NA,NA,none,25000,40,Working fulltime,0,Private,Non-depository credit and related activities,72,34
4131,1294,2,Female,White,16,Never married,50000,Pacific,1,NA,NA,Junior college,Business,NA,468+,Public,20000,35,Working fulltime,0,Private,Real estate,13,NA
818,1889,2,Female,Black,43,Married,0,Middle atlantic,1,No,No,Graduate,Business,NA,NA,none,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",88,52
90,1934,1,Male,White,27,Married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,25000,51,Working fulltime,0,Private,"Securities, commodities, funds, trusts, and other financial investments",76,NA
264,358,2,Male,Black,36,Married,250000,Middle atlantic,0,No,Yes,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Securities, commodities, funds, trusts, and other financial investments",81,39
832,1897,2,Female,White,23,Never married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Public,25000,57,Working fulltime,0,Government,"Accounting, tax preparation, bookkeeping, and payroll services",83,47
1218,2111,2,Female,White,63,Widowed,0,South atlantic,1,NA,NA,Graduate,Business,58%+,468+,Public,NA,1,Retired,0,Government,"Justice, public order, and safety activities",83,38
1467,2250,2,Male,White,33,Married,Big-city suburb,Mountain,1,No,No,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,Non-depository credit and related activities,72,47
1893,2486,2,Female,White,19,Married,250000,Foreign,0,No,No,Graduate,Arts,58%+,468+,Public,25000,51,Working fulltime,0,Private,Scientific research and development services,83,52
1958,2521,1,Female,White,52,Widowed,0,Mountain,1,NA,NA,Bachelor,Arts,40-57.9%,468+,Public,10000,1,Retired,1,Private,"Securities, commodities, funds, trusts, and other financial investments",83,NA
2618,346,2,Female,White,19,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Arts,NA,NA,none,25000,35,Working fulltime,0,Private,Motor vehicles and motor vehicle equipment manufacturing,83,24
2804,450,1,Female,White,29,Never married,0,E. nor. central,1,No,No,Graduate,Arts,58%+,468+,Public,25000,40,Working fulltime,0,Private,Insurance carriers and related activities,64,NA
2898,501,1,Male,White,44,Married,NA,E. nor. central,1,No,No,Bachelor,Arts,58%+,468+,Public,25000,84,Working fulltime,0,Private,Banking and related activities,72,NA
3445,808,1,Male,White,16,Married,50000,W. sou. central,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Private,25000,35,Working fulltime,0,Private,"Accounting, tax preparation, bookkeeping, and payroll services",83,NA
591,1763,2,Female,White,44,Married,0,E. nor. central,1,No,No,Bachelor,Multi-disciplinary/other,NA,NA,none,25000,18,Working parttime,1,Private,"Sporting and athletic goods, and doll, toy and game manufacturing",16,64
1193,2097,1,Male,White,39,Never married,Big-city suburb,Pacific,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,69,Working fulltime,1,Private,Beauty salons,28,NA
1722,2391,2,Female,White,17,Never married,0,W. sou. central,1,NA,NA,Bachelor,Humanities,0-39.9%,468+,Private,25000,46,Working fulltime,0,Private,"Sporting and athletic goods, and doll, toy and game manufacturing",70,38
2637,357,1,Male,White,35,Divorced,250000,E. sou. central,1,No,No,Bachelor,Humanities,40-57.9%,468+,Public,25000,46,Working fulltime,1,Private, restaurants and other food services,44,NA
2920,514,2,Female,White,24,Married,Big-city suburb,Middle atlantic,1,No,No,Graduate,Humanities,58%+,468+,Private,25000,35,Temp not working,0,Government,Elementary and secondary schools,88,51
643,1793,1,Female,Black,33,Never married,50000,South atlantic,1,No,No,Junior college,Natural Resources & Environment,NA,468+,Public,20000,35,Working fulltime,0,Private,Other personal services,18,NA
955,1965,1,Female,White,10,Never married,Big-city suburb,Middle atlantic,1,No,No,Junior college,Physical Sciences,58%+,468+,Private,20000,37,Working fulltime,0,Private,"Groceries and related products, merchant wholesalers",20,NA
3510,844,2,Female,White,69,Married,NA,E. sou. central,1,NA,NA,Graduate,Physical Sciences,58%+,468+,Private,3000,1,Retired,1,Private,Offices of other health practitioners,71,40
690,1818,1,Female,White,52,Never married,0,Middle atlantic,1,NA,NA,Graduate,Physical Sciences,58%+,468+,Private,10000,1,Retired,0,Private,"Periodical, book, and directory publishers",83,NA
