IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree
1161,2014,Male,White,47,Never married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,0,"Unempl, laid off",Someone else,Private,Computer systems design and related services,96
1162,2014,Male,White,52,Separated,City gt 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,55,Working fulltime,Someone else,Private,"Machinery manufacturing, n.e.c.    ",25
1162,2012,Female,White,54,Married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,0,"Unempl, laid off",Someone else,Private,Nursing care facilities,84
1163,2014,Female,Black,22,Never married,50000 to 250000,South atlantic,Yes,Yes,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,39,Working parttime,Someone else,Private,Traveler accommodation,48
1163,2012,Female,Black,73,Divorced,Farm,South atlantic,Yes,Not applicable,Not applicable,Junior college,Education,40-57.9%,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Administration of human resource programs,91
1164,2012,Female,Black,55,Widowed,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,Traveler accommodation,17
1164,2014,Female,White,66,Widowed,Farm,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Education,58%+,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Elementary and secondary schools,99
1165,2014,Male,Other,20,Never married,City gt 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,School,Not applicable,Not applicable,Not applicable,0
1165,2012,Female,Black,23,Never married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$7000 to 7999,Not applicable,School,Someone else,Private, restaurants and other food services,47
1166,2012,Male,Black,21,Never married,City gt 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,0,"Unempl, laid off",Someone else,Private,Shoe stores,34
1166,2014,Male,White,76,Married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Business administration,40-57.9%,468+,"Public, 4-year or above",0,0,Retired,Someone else,Private,Insurance carriers and related activities,86
1167,2012,Male,Other,20,Never married,50000 to 250000,South atlantic,Yes,No answer,No answer,Junior college,Not applicable,Not applicable,468+,"Public, 2-year",Not applicable,No answer,Working parttime,Not applicable,No answer,Not applicable,0
1167,2014,Female,Black,27,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Junior college,Not applicable,0-39.9%,468+,"Private for-profit, 4-year or above",$25000 or more,30,Working fulltime,Someone else,Private,Child day care services,58
1168,2014,Female,Black,42,Married,Farm,South atlantic,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$6000 to 6999,40,Working fulltime,Someone else,Government,Truck transportation,25
1168,2012,Female,White,47,Married,Town lt 50000,South atlantic,Yes,No answer,No answer,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,No answer,Working parttime,Someone else,Private,Not specified retail trade,35
1169,2014,Male,White,48,Separated,"Country,nonfarm",Foreign,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,49,Working fulltime,Someone else,Private,Construction,20
1169,2012,Male,White,62,Married,Farm,E. nor. central,Yes,No,No,Bachelor,Business administration,40-57.9%,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Employment services,82
1170,2012,Male,White,31,Never married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Private,"Sporting goods, camera, and hobby and toy stores",56
1170,2014,Female,Black,53,Divorced,50000 to 250000,W. nor. central,Yes,Yes,Yes,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,Insurance carriers and related activities,61
1171,2012,Male,White,64,Married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Motor vehicles and motor vehicle equipment manufacturing,22
1171,2014,Female,Black,37,Never married,City gt 250000,South atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,60,Working fulltime,Self-employed,Private,Business support services,59
1172,2014,Male,White,87,Widowed,Farm,W. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Truck transportation,25
1172,2012,Female,Black,52,Married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,0-39.9%,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Government,U.s. armed forces/n.s.,77
1173,2012,Female,White,83,Married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Business administration,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Private,Aluminum production and processing,58
1173,2014,Female,Black,30,Never married,City gt 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,"Savings institutions, including credit unions",78
1174,2012,Male,White,56,Divorced,"Country,nonfarm",Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,50,Working fulltime,Someone else,Private,Traveler accommodation,22
1174,2014,Male,White,76,Married,City gt 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Construction,59
1175,2014,Male,Black,30,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Junior college,Business administration,0-39.9%,468+,"Private not-for-profit, 4-year or above",$3000 to 3999,Not applicable,Keeping house,Someone else,Private,Home health care services,41
1175,2012,Male,Black,30,Married,50000 to 250000,South atlantic,Yes,Yes,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,50,Working fulltime,Someone else,Private,Wired telecommunications carriers,77
1176,2014,Male,White,38,Divorced,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Construction,16
1176,2012,Female,White,61,Married,Town lt 50000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,Banking and related activities,65
1177,2014,Female,White,45,Divorced,50000 to 250000,Middle atlantic,Yes,No,No,Junior college,General sciences,Not applicable,468+,"Public, 2-year",$10000 - 14999,40,Working fulltime,Someone else,Government,Elementary and secondary schools,22
1177,2012,Female,White,75,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Not applicable,40-57.9%,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Elementary and secondary schools,99
1178,2014,Male,White,25,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,Not applicable,Keeping house,Someone else,Government,Construction,23
1178,2012,Male,White,73,Married,"Country,nonfarm",Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Commercial and service industry machinery manufacturing,77
1179,2014,Female,White,49,Divorced,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,20,Working parttime,Self-employed,Private,Private households,17
1179,2012,Male,White,68,Married,Farm,E. nor. central,Yes,Not applicable,Not applicable,Junior college,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Insurance carriers and related activities,94
1180,2012,Male,White,69,Widowed,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",0,0,Retired,Someone else,Private,Insurance carriers and related activities,65
1180,2014,Female,White,36,Married,Town lt 50000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,25,Working parttime,Self-employed,Private,Nail salons and other personal care services,70
1181,2014,Male,White,49,Divorced,"Country,nonfarm",South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Not specified manufacturing industries,51
1181,2012,Female,White,52,Married,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,15,Working parttime,Someone else,Government,Elementary and secondary schools,99
1182,2012,Female,White,59,Divorced,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Self-employed,Private,Drycleaning and laundry services,17
1182,2014,Female,White,57,Married,"Country,nonfarm",E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,Furniture and related product manufacturing,38
1183,2012,Male,Black,39,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Not applicable,Not applicable,Not applicable,0
1183,2014,Male,White,26,Never married,Town lt 50000,E. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,28,Working parttime,Someone else,Private,Grocery stores,24
1184,2012,Female,Black,57,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Cut and sew apparel manufacturing,38
1184,2014,Female,White,20,Never married,50000 to 250000,E. sou. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$1000 to 2999,Not applicable,School,Someone else,Don't know, restaurants and other food services,47
1185,2014,Female,White,42,Married,Town lt 50000,E. sou. central,Yes,No,No,Junior college,Other vocational,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,Barber shops,38
1185,2012,Female,White,63,Married,"Country,nonfarm",South atlantic,Yes,No,No,Bachelor,Music,40-57.9%,468+,"Public, 4-year or above",Don't know,50,Working fulltime,Someone else,Government,Elementary and secondary schools,99
1186,2012,Male,Black,29,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Refused,0,"Unempl, laid off",Someone else,Private,Animal slaughtering and processing,20
1186,2014,Male,White,35,Divorced,50000 to 250000,E. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,75,Working fulltime,Someone else,Private,Banking and related activities,83
1187,2012,Female,Black,19,Never married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
1187,2014,Male,White,63,Divorced,50000 to 250000,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Metals and minerals, except petroleum, merchant wholesalers",23
1188,2012,Male,White,30,Married,Farm,South atlantic,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,53,Working fulltime,Someone else,Private,Miscellaneous retail stores,20
1188,2014,Male,White,51,Married,Big-city suburb,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,50,Working fulltime,Someone else,Private,Construction,28
1189,2014,Male,White,50,Divorced,Big-city suburb,E. nor. central,Yes,No,No,Junior college,Not applicable,58%+,468+,"Public, 4-year or above",Not applicable,40,Temp not working,Self-employed,Private,Construction,26
1189,2012,Female,White,38,Married,50000 to 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,Not applicable,Working fulltime,Someone else,Private,"Sporting goods, camera, and hobby and toy stores",55
1190,2014,Female,White,51,Never married,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Not specified manufacturing industries,25
1190,2012,Male,White,28,Married,"Country,nonfarm",South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55,Working fulltime,Someone else,Government,National security and international affairs,45
1191,2014,Female,White,67,Divorced,Town lt 50000,E. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,0,Retired,Someone else,Private,Nursing care facilities,69
1191,2012,Female,White,41,Divorced,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Elementary and secondary schools,99
1192,2012,Male,Black,56,Divorced,Town lt 50000,South atlantic,Yes,No,Yes,Junior college,Criminology/criminal justice,0-39.9%,468+,"Private for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,U.s. armed forces/n.s.,87
1192,2014,Male,White,29,Never married,"Country,nonfarm",E. nor. central,Yes,No,No,Bachelor,Medicine,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Hospitals,98
1193,2012,Male,White,24,Never married,50000 to 250000,South atlantic,No,No,No,Bachelor,Physical education,40-57.9%,468+,"Public, 4-year or above",Not applicable,32,Working parttime,Someone else,Private,"Residential care facilities, without nursing",85
1193,2014,Male,White,30,Married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,Elementary and secondary schools,99
1194,2012,Female,Black,58,Divorced,Farm,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Refused,40,Working fulltime,Someone else,Government,"Accounting, tax preparation, bookkeeping, and payroll services",0
1194,2014,Male,White,27,Never married,"Country,nonfarm",South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,60,Working fulltime,Someone else,Private,Services incidental to transportation,30
1195,2014,Male,White,66,Never married,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,0,Retired,Someone else,Private,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",28
1195,2012,Male,Black,28,Never married,50000 to 250000,South atlantic,Yes,No,No,Bachelor,Not applicable,0-39.9%,468+,"Public, 4-year or above",Don't know,20,Working parttime,Someone else,Government,Elementary and secondary schools,99
1196,2014,Female,White,19,Never married,Town lt 50000,E. nor. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,30,Working fulltime,Someone else,Don't know,Animal slaughtering and processing,19
1196,2012,Female,White,55,Widowed,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",44
1197,2014,Female,White,67,Married,50000 to 250000,E. nor. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Savings institutions, including credit unions",53
1197,2012,Female,White,41,Divorced,Big-city suburb,E. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,44,Working fulltime,Someone else,Private,Animal slaughtering and processing,63
1198,2012,Male,Black,29,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,0,"Unempl, laid off",Someone else,Private, restaurants and other food services,24
1198,2014,Female,White,55,Married,"Country,nonfarm",E. nor. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,60,Working fulltime,Self-employed,Private,Miscellaneous retail stores,55
1199,2012,Female,White,65,Married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Other health care services,56
1199,2014,Female,White,31,Married,"Country,nonfarm",E. nor. central,Yes,No,No,Bachelor,Not applicable,0-39.9%,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Not specified manufacturing industries,58
1200,2014,Female,Black,39,Never married,50000 to 250000,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Private,Insurance carriers and related activities,40
1200,2012,Female,White,64,Widowed,Big-city suburb,Foreign,Yes,Not applicable,Not applicable,Junior college,Not applicable,Not applicable,468+,"Public, 4-year or above",0,0,Retired,Someone else,Private,Department stores and discount stores,56
1201,2014,Female,Black,31,Never married,City gt 250000,E. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,Not applicable,School,Someone else,Government,Individual and family services,41
1201,2012,Female,White,41,Married,50000 to 250000,South atlantic,Yes,No,No,Junior college,Dk/uncoded,Not applicable,0-467,"Private not-for-profit, 4-year or above",$25000 or more,89,Working fulltime,Someone else,Private,Hospitals,87
1202,2014,Male,Black,45,Never married,Town lt 50000,E. nor. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Working fulltime,Someone else,Private, restaurants and other food services,27
1202,2012,Male,White,39,Divorced,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,0,"Unempl, laid off",Someone else,Private,U.s. armed forces/n.s.,77
1203,2014,Male,Black,51,Never married,City gt 250000,E. nor. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$1000 to 2999,53,Temp not working,Self-employed,No answer,Barber shops,31
1203,2012,Male,White,29,Never married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,Not applicable,Working fulltime,Someone else,Private,Construction,77
1204,2014,Female,Black,72,Divorced,Farm,E. sou. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Not applicable,Not applicable,Not applicable,0
1204,2012,Male,Black,54,Married,50000 to 250000,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,0,Retired,Someone else,Government,Couriers and messengers,25
1205,2014,Female,White,41,Married,City gt 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,8,Working parttime,Someone else,Private,Home health care services,41
1205,2012,Female,White,47,Divorced,"Country,nonfarm",South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,44,Working fulltime,Someone else,Private,Warehousing and storage,58
1206,2012,Female,White,44,Married,"Country,nonfarm",South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,Not applicable,Temp not working,Self-employed,Private,Beauty salons,38
1206,2014,Male,White,52,Married,Big-city suburb,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,56,Working fulltime,Someone else,Private,"Professional and commercial equipment and supplies, merchant wholesalers",73
1207,2014,Female,Black,52,Divorced,50000 to 250000,E. sou. central,Yes,Not applicable,Not applicable,Bachelor,Business administration,0-39.9%,468+,"Public, 4-year or above",$15000 - 19999,0,Retired,Someone else,Government,Elementary and secondary schools,59
1207,2012,Female,Black,24,Divorced,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Lt $1000,40,Working fulltime,Someone else,Private,Hospitals,67
1208,2014,Female,White,43,Married,Big-city suburb,Mountain,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,30,Working parttime,Someone else,Private,Couriers and messengers,31
1208,2012,Female,White,33,Married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,32,Working parttime,Someone else,Private,Not specified retail trade,55
1209,2014,Female,White,25,Never married,50000 to 250000,W. nor. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Working fulltime,Someone else,Government,National security and international affairs,81
1209,2012,Female,White,60,Married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,Junior college,Nursing,Not applicable,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Hospitals,98
1210,2014,Female,White,39,Married,50000 to 250000,Foreign,Yes,Not applicable,Not applicable,Junior college,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,16,Working parttime,Someone else,Private,Grocery stores,35
1210,2012,Male,White,60,Married,Big-city suburb,Pacific,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,Not applicable,Temp not working,Self-employed,Private,Construction,91
1211,2014,Female,White,25,Never married,Big-city suburb,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,45,Working fulltime,Someone else,Private, restaurants and other food services,54
1211,2012,Male,White,53,Married,City gt 250000,Foreign,Yes,Yes,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,55,Working fulltime,Self-employed,Private,Employment services,82
1212,2012,Male,White,19,Never married,Big-city suburb,South atlantic,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$5000 to 5999,50,Working fulltime,Someone else,Private,Other motor vehicle dealers,29
1212,2014,Male,White,29,Never married,City gt 250000,Pacific,Yes,No,No,Bachelor,Business administration,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,Banking and related activities,83
1213,2012,Female,White,46,Married,Big-city suburb,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,35,Working fulltime,Self-employed,Private,Beauty salons,38
1213,2014,Female,White,73,Widowed,Town lt 50000,W. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Hospitals,58
1214,2012,Male,White,84,Widowed,Town lt 50000,Middle atlantic,No answer,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",28
1214,2014,Female,Other,22,Married,City gt 250000,W. sou. central,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35,Working parttime,Someone else,Don't know,"Sewing, needlework, and piece goods stores",59
1215,2012,Female,Black,37,Never married,50000 to 250000,South atlantic,Yes,No,Yes,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,Not applicable,Temp not working,Self-employed,Private,Home health care services,22
1215,2014,Male,White,60,Never married,Town lt 50000,W. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Furniture and home furnishings stores,59
1216,2014,Female,White,26,Never married,Big-city suburb,E. nor. central,Yes,Not applicable,Not applicable,Graduate,Medicine,58%+,468+,"Private not-for-profit, 4-year or above",Not applicable,Not applicable,School,Not applicable,Not applicable,Not applicable,0
1216,2012,Female,White,35,Never married,"Country,nonfarm",Middle atlantic,Yes,No,No,Bachelor,Anthropolgy,40-57.9%,468+,"Public, 4-year or above",Not applicable,25,Working parttime,Someone else,Private,"Independent artists, performing arts, spectator sports, and related industries",52
1217,2014,Male,White,26,Never married,Big-city suburb,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$1000 to 2999,8,Working parttime,Someone else,Private,Construction,12
1217,2012,Female,White,60,Married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Junior college,Not applicable,Not applicable,468+,"Public, 2-year",0,0,Retired,Self-employed,Private,Real estate,78
1218,2012,Female,White,46,Never married,Town lt 50000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,35,Working fulltime,Self-employed,Private,Home health care services,41
1218,2014,Female,Other,56,Divorced,50000 to 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,37,Working fulltime,Someone else,Government,Elementary and secondary schools,56
1219,2012,Male,White,26,Never married,50000 to 250000,South atlantic,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,33,Working fulltime,Someone else,Private, restaurants and other food services,42
1219,2014,Female,White,43,Married,Town lt 50000,Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Keeping house,Someone else,Private,Home health care services,91
1220,2012,Male,White,31,Never married,Town lt 50000,South atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,40-57.9%,468+,"Private not-for-profit, 4-year or above",$10000 - 14999,0,"Unempl, laid off",Someone else,Private,"Other amusement, gambling, and recreation industries",59
1220,2014,Female,White,56,Divorced,City gt 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,"Justice, public order, and safety activities",77
1221,2014,Female,Other,70,Widowed,"Country,nonfarm",Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,"Textile product mills, except carpet and rug",17
1221,2012,Female,White,67,Married,Big-city suburb,South atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,U.s. armed forces/n.s.,77
1222,2014,Male,White,67,Divorced,50000 to 250000,W. sou. central,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Construction,20
1222,2012,Female,White,67,Married,Big-city suburb,Foreign,Yes,Not applicable,Not applicable,Graduate,Political science,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Government,U.s. armed forces/n.s.,77
1223,2014,Female,White,33,Divorced,50000 to 250000,Foreign,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$10000 - 14999,40,Working fulltime,Someone else,Private, restaurants and other food services,44
1223,2012,Male,White,88,Married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Self-employed,Private,Construction,59
1224,2014,Female,White,36,Married,Town lt 50000,W. sou. central,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Government,Elementary and secondary schools,22
1224,2012,Female,White,40,Married,City gt 250000,South atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,70,Working fulltime,Self-employed,Private,Business support services,77
